"Header";"Name"
"HC04_MOE_VC24_transit";"Public transportation (excluding taxicab); Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
"HC01_EST_VC26_transit";"Total; Estimate; Hispanic or Latino origin (of any race)"
"HC01_MOE_VC26_transit";"Total; Margin of Error; Hispanic or Latino origin (of any race)"
"HC02_EST_VC26_transit";"Car, truck, or van -- drove alone; Estimate; Hispanic or Latino origin (of any race)"
"HC02_MOE_VC26_transit";"Car, truck, or van -- drove alone; Margin of Error; Hispanic or Latino origin (of any race)"
"HC03_EST_VC26_transit";"Car, truck, or van -- carpooled; Estimate; Hispanic or Latino origin (of any race)"
"HC03_MOE_VC26_transit";"Car, truck, or van -- carpooled; Margin of Error; Hispanic or Latino origin (of any race)"
"HC04_EST_VC26_transit";"Public transportation (excluding taxicab); Estimate; Hispanic or Latino origin (of any race)"
"HC04_MOE_VC26_transit";"Public transportation (excluding taxicab); Margin of Error; Hispanic or Latino origin (of any race)"
"HC01_EST_VC27_transit";"Total; Estimate; White alone, not Hispanic or Latino"
"HC01_MOE_VC27_transit";"Total; Margin of Error; White alone, not Hispanic or Latino"
"HC02_EST_VC27_transit";"Car, truck, or van -- drove alone; Estimate; White alone, not Hispanic or Latino"
"HC02_MOE_VC27_transit";"Car, truck, or van -- drove alone; Margin of Error; White alone, not Hispanic or Latino"
"HC03_EST_VC27_transit";"Car, truck, or van -- carpooled; Estimate; White alone, not Hispanic or Latino"
"HC03_MOE_VC27_transit";"Car, truck, or van -- carpooled; Margin of Error; White alone, not Hispanic or Latino"
"HC04_EST_VC27_transit";"Public transportation (excluding taxicab); Estimate; White alone, not Hispanic or Latino"
"HC04_MOE_VC27_transit";"Public transportation (excluding taxicab); Margin of Error; White alone, not Hispanic or Latino"
"HC01_EST_VC30_transit";"Total; Estimate; NATIVITY AND CITIZENSHIP STATUS - Native"
"HC01_MOE_VC30_transit";"Total; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Native"
"HC02_EST_VC30_transit";"Car, truck, or van -- drove alone; Estimate; NATIVITY AND CITIZENSHIP STATUS - Native"
"HC02_MOE_VC30_transit";"Car, truck, or van -- drove alone; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Native"
"HC03_EST_VC30_transit";"Car, truck, or van -- carpooled; Estimate; NATIVITY AND CITIZENSHIP STATUS - Native"
"HC03_MOE_VC30_transit";"Car, truck, or van -- carpooled; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Native"
"HC04_EST_VC30_transit";"Public transportation (excluding taxicab); Estimate; NATIVITY AND CITIZENSHIP STATUS - Native"
"HC04_MOE_VC30_transit";"Public transportation (excluding taxicab); Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Native"
"HC01_EST_VC31_transit";"Total; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born"
"HC01_MOE_VC31_transit";"Total; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born"
"HC02_EST_VC31_transit";"Car, truck, or van -- drove alone; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born"
"HC02_MOE_VC31_transit";"Car, truck, or van -- drove alone; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born"
"HC03_EST_VC31_transit";"Car, truck, or van -- carpooled; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born"
"HC03_MOE_VC31_transit";"Car, truck, or van -- carpooled; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born"
"HC04_EST_VC31_transit";"Public transportation (excluding taxicab); Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born"
"HC04_MOE_VC31_transit";"Public transportation (excluding taxicab); Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born"
"HC01_EST_VC32_transit";"Total; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen"
"HC01_MOE_VC32_transit";"Total; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen"
"HC02_EST_VC32_transit";"Car, truck, or van -- drove alone; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen"
"HC02_MOE_VC32_transit";"Car, truck, or van -- drove alone; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen"
"HC03_EST_VC32_transit";"Car, truck, or van -- carpooled; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen"
"HC03_MOE_VC32_transit";"Car, truck, or van -- carpooled; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen"
"HC04_EST_VC32_transit";"Public transportation (excluding taxicab); Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen"
"HC04_MOE_VC32_transit";"Public transportation (excluding taxicab); Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen"
"HC01_EST_VC33_transit";"Total; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen"
"HC01_MOE_VC33_transit";"Total; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen"
"HC02_EST_VC33_transit";"Car, truck, or van -- drove alone; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen"
"HC02_MOE_VC33_transit";"Car, truck, or van -- drove alone; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen"
"HC03_EST_VC33_transit";"Car, truck, or van -- carpooled; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen"
"HC03_MOE_VC33_transit";"Car, truck, or van -- carpooled; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen"
"HC04_EST_VC33_transit";"Public transportation (excluding taxicab); Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen"
"HC04_MOE_VC33_transit";"Public transportation (excluding taxicab); Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen"
"HC01_EST_VC36_transit";"Total; Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English"
"HC01_MOE_VC36_transit";"Total; Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English"
"HC02_EST_VC36_transit";"Car, truck, or van -- drove alone; Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English"
"HC02_MOE_VC36_transit";"Car, truck, or van -- drove alone; Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English"
"HC03_EST_VC36_transit";"Car, truck, or van -- carpooled; Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English"
"HC03_MOE_VC36_transit";"Car, truck, or van -- carpooled; Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English"
"HC04_EST_VC36_transit";"Public transportation (excluding taxicab); Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English"
"HC04_MOE_VC36_transit";"Public transportation (excluding taxicab); Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English"
"HC01_EST_VC37_transit";"Total; Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English ""very well"""""""
"HC01_MOE_VC37_transit";"Total; Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English ""very well"""""""
"HC02_EST_VC37_transit";"Car, truck, or van -- drove alone; Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English ""very well"""""""
"HC02_MOE_VC37_transit";"Car, truck, or van -- drove alone; Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English ""very well"""""""
"HC03_EST_VC37_transit";"Car, truck, or van -- carpooled; Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English ""very well"""""""
"HC03_MOE_VC37_transit";"Car, truck, or van -- carpooled; Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English ""very well"""""""
"HC04_EST_VC37_transit";"Public transportation (excluding taxicab); Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English ""very well"""""""
"HC04_MOE_VC37_transit";"Public transportation (excluding taxicab); Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English ""very well"""""""
"HC01_EST_VC38_transit";"Total; Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English less than ""very well"""""""
"HC01_MOE_VC38_transit";"Total; Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English less than ""very well"""""""
"HC02_EST_VC38_transit";"Car, truck, or van -- drove alone; Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English less than ""very well"""""""
"HC02_MOE_VC38_transit";"Car, truck, or van -- drove alone; Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English less than ""very well"""""""
"HC03_EST_VC38_transit";"Car, truck, or van -- carpooled; Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English less than ""very well"""""""
"HC03_MOE_VC38_transit";"Car, truck, or van -- carpooled; Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English less than ""very well"""""""
"HC04_EST_VC38_transit";"Public transportation (excluding taxicab); Estimate; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English less than ""very well"""""""
"HC04_MOE_VC38_transit";"Public transportation (excluding taxicab); Margin of Error; LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH - Speak language other than English - Speak English less than ""very well"""""""
"HC01_EST_VC42_transit";"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings"
"HC01_MOE_VC42_transit";"Total; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings"
"HC02_EST_VC42_transit";"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings"
"HC02_MOE_VC42_transit";"Car, truck, or van -- drove alone; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings"
"HC03_EST_VC42_transit";"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings"
"HC03_MOE_VC42_transit";"Car, truck, or van -- carpooled; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings"
"HC04_EST_VC42_transit";"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings"
"HC04_MOE_VC42_transit";"Public transportation (excluding taxicab); Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings"
"HC01_EST_VC43_transit";"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $1 to $9,999 or loss"
"HC01_MOE_VC43_transit";"Total; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $1 to $9,999 or loss"
"HC02_EST_VC43_transit";"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $1 to $9,999 or loss"
"HC02_MOE_VC43_transit";"Car, truck, or van -- drove alone; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $1 to $9,999 or loss"
"HC03_EST_VC43_transit";"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $1 to $9,999 or loss"
"HC03_MOE_VC43_transit";"Car, truck, or van -- carpooled; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $1 to $9,999 or loss"
"HC04_EST_VC43_transit";"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $1 to $9,999 or loss"
"HC04_MOE_VC43_transit";"Public transportation (excluding taxicab); Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $1 to $9,999 or loss"
"HC01_EST_VC44_transit";"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $10,000 to $14,999"
"HC01_MOE_VC44_transit";"Total; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $10,000 to $14,999"
"HC02_EST_VC44_transit";"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $10,000 to $14,999"
"HC02_MOE_VC44_transit";"Car, truck, or van -- drove alone; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $10,000 to $14,999"
"HC03_EST_VC44_transit";"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $10,000 to $14,999"
"HC03_MOE_VC44_transit";"Car, truck, or van -- carpooled; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $10,000 to $14,999"
"HC04_EST_VC44_transit";"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $10,000 to $14,999"
"HC04_MOE_VC44_transit";"Public transportation (excluding taxicab); Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $10,000 to $14,999"
"HC01_EST_VC45_transit";"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $15,000 to $24,999"
"HC01_MOE_VC45_transit";"Total; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $15,000 to $24,999"
"HC02_EST_VC45_transit";"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $15,000 to $24,999"
"HC02_MOE_VC45_transit";"Car, truck, or van -- drove alone; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $15,000 to $24,999"
"HC03_EST_VC45_transit";"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $15,000 to $24,999"
"HC03_MOE_VC45_transit";"Car, truck, or van -- carpooled; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $15,000 to $24,999"
"HC04_EST_VC45_transit";"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $15,000 to $24,999"
"HC04_MOE_VC45_transit";"Public transportation (excluding taxicab); Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $15,000 to $24,999"
"HC01_EST_VC46_transit";"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $25,000 to $34,999"
"HC01_MOE_VC46_transit";"Total; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $25,000 to $34,999"
"HC02_EST_VC46_transit";"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $25,000 to $34,999"
"HC02_MOE_VC46_transit";"Car, truck, or van -- drove alone; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $25,000 to $34,999"
"HC03_EST_VC46_transit";"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $25,000 to $34,999"
"HC03_MOE_VC46_transit";"Car, truck, or van -- carpooled; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $25,000 to $34,999"
"HC04_EST_VC46_transit";"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $25,000 to $34,999"
"HC04_MOE_VC46_transit";"Public transportation (excluding taxicab); Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $25,000 to $34,999"
"HC01_EST_VC47_transit";"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $35,000 to $49,999"
"HC01_MOE_VC47_transit";"Total; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $35,000 to $49,999"
"HC02_EST_VC47_transit";"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $35,000 to $49,999"
"HC02_MOE_VC47_transit";"Car, truck, or van -- drove alone; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $35,000 to $49,999"
"HC03_EST_VC47_transit";"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $35,000 to $49,999"
"HC03_MOE_VC47_transit";"Car, truck, or van -- carpooled; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $35,000 to $49,999"
"HC04_EST_VC47_transit";"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $35,000 to $49,999"
"HC04_MOE_VC47_transit";"Public transportation (excluding taxicab); Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $35,000 to $49,999"
"HC01_EST_VC48_transit";"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $50,000 to $64,999"
"HC01_MOE_VC48_transit";"Total; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $50,000 to $64,999"
"HC02_EST_VC48_transit";"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $50,000 to $64,999"
"HC02_MOE_VC48_transit";"Car, truck, or van -- drove alone; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $50,000 to $64,999"
"HC03_EST_VC48_transit";"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $50,000 to $64,999"
"HC03_MOE_VC48_transit";"Car, truck, or van -- carpooled; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $50,000 to $64,999"
"HC04_EST_VC48_transit";"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $50,000 to $64,999"
"HC04_MOE_VC48_transit";"Public transportation (excluding taxicab); Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $50,000 to $64,999"
"HC01_EST_VC49_transit";"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $65,000 to $74,999"
"HC01_MOE_VC49_transit";"Total; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $65,000 to $74,999"
"HC02_EST_VC49_transit";"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $65,000 to $74,999"
"HC02_MOE_VC49_transit";"Car, truck, or van -- drove alone; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $65,000 to $74,999"
"HC03_EST_VC49_transit";"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $65,000 to $74,999"
"HC03_MOE_VC49_transit";"Car, truck, or van -- carpooled; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $65,000 to $74,999"
"HC04_EST_VC49_transit";"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $65,000 to $74,999"
"HC04_MOE_VC49_transit";"Public transportation (excluding taxicab); Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $65,000 to $74,999"
"HC01_EST_VC50_transit";"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $75,000 or more"
"HC01_MOE_VC50_transit";"Total; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $75,000 or more"
"HC02_EST_VC50_transit";"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $75,000 or more"
"HC02_MOE_VC50_transit";"Car, truck, or van -- drove alone; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $75,000 or more"
"HC03_EST_VC50_transit";"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $75,000 or more"
"HC03_MOE_VC50_transit";"Car, truck, or van -- carpooled; Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $75,000 or more"
"HC04_EST_VC50_transit";"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $75,000 or more"
"HC04_MOE_VC50_transit";"Public transportation (excluding taxicab); Margin of Error; EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - $75,000 or more"
"HC01_EST_VC52_transit";"Total; Estimate; Median earnings (dollars)"
"HC01_MOE_VC52_transit";"Total; Margin of Error; Median earnings (dollars)"
"HC02_EST_VC52_transit";"Car, truck, or van -- drove alone; Estimate; Median earnings (dollars)"
"HC02_MOE_VC52_transit";"Car, truck, or van -- drove alone; Margin of Error; Median earnings (dollars)"
"HC03_EST_VC52_transit";"Car, truck, or van -- carpooled; Estimate; Median earnings (dollars)"
"HC03_MOE_VC52_transit";"Car, truck, or van -- carpooled; Margin of Error; Median earnings (dollars)"
"HC04_EST_VC52_transit";"Public transportation (excluding taxicab); Estimate; Median earnings (dollars)"
"HC04_MOE_VC52_transit";"Public transportation (excluding taxicab); Margin of Error; Median earnings (dollars)"
"HC01_EST_VC56_transit";"Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Workers 16 years and over for whom poverty status is determined"
"HC01_MOE_VC56_transit";"Total; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Workers 16 years and over for whom poverty status is determined"
"HC02_EST_VC56_transit";"Car, truck, or van -- drove alone; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Workers 16 years and over for whom poverty status is determined"
"HC02_MOE_VC56_transit";"Car, truck, or van -- drove alone; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Workers 16 years and over for whom poverty status is determined"
"HC03_EST_VC56_transit";"Car, truck, or van -- carpooled; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Workers 16 years and over for whom poverty status is determined"
"HC03_MOE_VC56_transit";"Car, truck, or van -- carpooled; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Workers 16 years and over for whom poverty status is determined"
"HC04_EST_VC56_transit";"Public transportation (excluding taxicab); Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Workers 16 years and over for whom poverty status is determined"
"HC04_MOE_VC56_transit";"Public transportation (excluding taxicab); Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Workers 16 years and over for whom poverty status is determined"
"HC01_EST_VC57_transit";"Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below 100 percent of the poverty level"
"HC01_MOE_VC57_transit";"Total; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below 100 percent of the poverty level"
"HC02_EST_VC57_transit";"Car, truck, or van -- drove alone; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below 100 percent of the poverty level"
